name,title,description,type,format,constraints.maxLength,constraints.pattern,constraints.minimum,constraints.maximum,ordered,missingValues,trueValues,falseValues,repo_link,cde_id,ontology_id,encoding,constraints.enum
DOMAIN,,Domain Abbreviation,text,,2,,,,,,,,,,,,
QSCAT,,Category of Question,text,,50,,,,,,,,,,,,
QSDRVFL,,Derived Flag,text,,1,,,,,,,,,,,,
QSDTC,,Date/Time of Finding,date,ISO8601,,,,,,,,,,,,,
QSDY,,Study Day of Finding,integer,3,8,,,,,,,,,,,,
QSEVLINT,,Evaluation Interval,text,ISO8601,20,,,,,,,,,,,,
QSSCAT,,Subcategory for Question,text,,50,,,,,,,,,,,,
QSSEQ,,Sequence Number,integer,3,8,,,,,,,,,,,,
QSSTRESC,,Character Result/Finding in Std Format,text,,30,,,,,,,,,,,,
QSSTRESN,,Numeric Finding in Std Units,float,,8,,,,,,,,,,,,
QSTEST,,Question Name,text,,100,,,,,,,,,,,,
QSTESTCD,,Question Short Name,text,,8,,,,,,,,,,,,
STUDYID,,Study Identifier,text,,8,,,,,,,,,,,,
USUBJID,,Unique Subject Identifier,text,,19,,,,,,,,,,,,
VISIT,,Visit Name,text,,20,,,,,,,,,,,,
VISITNUM,,Visit Number,float,5.1,8,,,,,,,,,,,,
