name,type,description,ordered
CaseId,integer,Case ID,True
WEIGHT,number,"Post-stratification weights - 18+ general population (N=1,036)",
RND_01,integer,RANDOM: Randomization variable used for scripting,True
PS_A_Medicaid_Bi,integer,"[I favor expanding Medicaid insurance benefits for low income families to provide coverage for treatment of opioid use disorders/addiction problems, including addiction to prescription pain medications. ] Do you disagree or agree with the following stateme",True
PS_B_Naloxone_Bi,integer,"[I favor making naloxone (also known as 'Narcan'), a medication that can quickly reverse the effects of a person experiencing an opioid overdose, widely available and affordable without a prescription.] Do you disagree or agree with the following statement",True
PS_C_Mandatory_Bi,integer,[I believe that making drug treatment mandatory is an effective way to help people with an opioid use disorder.] Do you disagree or agree with the following statements?,True
PS_D_GovSpend_Bi,integer,[I favor increasing government spending to improve treatment of opioid use disorder/addiction.] Do you disagree or agree with the following statements?,True
DS_E_Schools_Bi,integer,[High schools and colleges should be allowed to dismiss or expel a person with an opioid use disorder/addiction.] Do you disagree or agree with the following statements?,True
DS_F_Physicians_Bi,integer,[Physicians and other healthcare providers should be allowed to refuse to treat a person with an opioid use disorder/addiction.] Do you disagree or agree with the following statements?,True
DS_G_Employers_Bi,integer,[Employers should be allowed to deny employment to a person with a current opioid use disorder/addiction.] Do you disagree or agree with the following statements?,True
DS_H_Landlords_Bi,integer,[Landlords should be allowed to deny housing to a person with a current opioid use disorder/addiction.] Do you disagree or agree with the following statements?,True
PS_I_SeekMedical_Bi,integer,[I favor passing laws to protect people from criminal charges for drug crimes if they seek medical help for experiencing an opioid/prescription pain medication problem.] Do you disagree or agree with the following statements?,True
PS_J_JailHealth_Bi,integer,[I believe that incarceration/jail is an effective way to improve the health of people with an opioid use disorder.] Do you disagree or agree with the following statements?,True
PS_K_JailOverdose_Bi,integer,[I believe that incarceration/jail is an effective way to reduce the risk of overdosing for people with an opioid use disorder.] Do you disagree or agree with the following statements?,True
PS_L_JailTreatment_Bi,integer,"[I believe that people in jail/prison with an opioid use disorder/addiction problem should get access to medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone).] Do you disagree or agree with the following statements?",True
PS_A_Medicaid_Uni,integer,"[I favor expanding Medicaid insurance benefits for low income families to provide coverage for treatment of opioid use disorders/addiction problems, including addiction to prescription pain medications. ] Do you agree with the following statements?",True
PS_B_Naloxone_Uni,integer,"[I favor making naloxone (also known as 'Narcan'), a medication that can quickly reverse the effects of a person experiencing an opioid overdose, widely available and affordable without a prescription.] Do you agree with the following statements?",True
PS_C_Mandatory_Uni,integer,[I believe that making drug treatment mandatory is an effective way to help people with an opioid use disorder.] Do you agree with the following statements?,True
PS_D_GovSpend_Uni,integer,[I favor increasing government spending to improve treatment of opioid use disorder/addiction.] Do you agree with the following statements?,True
DS_E_Schools_Uni,integer,[High schools and colleges should be allowed to dismiss or expel a person with an opioid use disorder/addiction.] Do you agree with the following statements?,True
DS_F_Physicians_Uni,integer,[Physicians and other healthcare providers should be allowed to refuse to treat a person with an opioid use disorder/addiction.] Do you agree with the following statements?,True
DS_G_Employers_Uni,integer,[Employers should be allowed to deny employment to a person with a current opioid use disorder/addiction.] Do you agree with the following statements?,True
DS_H_Landlords_Uni,integer,[Landlords should be allowed to deny housing to a person with a current opioid use disorder/addiction. ] Do you agree with the following statements?,True
PS_I_SeekMedical_Uni,integer,[I favor passing laws to protect people from criminal charges for drug crimes if they seek medical help for experiencing an opioid/prescription pain medication problem.] Do you agree with the following statements?,True
PS_J_JailHealth_Uni,integer,[I believe that incarceration/jail is an effective way to improve the health of people with an opioid use disorder.] Do you agree with the following statements?,True
PS_K_JailOverdose_Uni,integer,[I believe that incarceration/jail is an effective way to reduce the risk of overdosing for people with an opioid use disorder.] Do you agree with the following statements?,True
PS_L_JailTreatment_Uni,integer,"[I believe that people in jail/prison with an opioid use disorder/addiction problem should get access to medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone).] Do you agree with the following statements?",True
SS_A_HistoryWork_Bi,integer,[I would be willing to have a person with a past history of opioid use disorder/addiction start working closely with me on a job.] Do you disagree or agree with the following statements?,True
SS_B_HistoryMarry_Bi,integer,[I am comfortable having a person with a past history of opioid use disorder/addiction marry into my family.] Do you disagree or agree with the following statements?,True
SS_C_CurrentWork_Bi,integer,[I would be willing to have a person with a current opioid use disorder/addiction start working closely with me on a job.] Do you disagree or agree with the following statements?,True
SS_D_CurrentMarry_Bi,integer,[I would be comfortable having a person with a current opioid use disorder/addiction marry into my family.] Do you disagree or agree with the following statements?,True
SS_E_Dangerous_Bi,integer,[People with a current addiction to opioids/prescription pain medications are more dangerous than the general population.] Do you disagree or agree with the following statements?,True
SS_F_Trust_Bi,integer,[A person who is currently addicted to opioids/prescription pain medication cannot be trusted.] Do you disagree or agree with the following statements?,True
SS_A_HistoryWork_Uni,integer,[I would be willing to have a person with a past history of opioid use disorder/addiction start working closely with me on a job.] Do you agree with the following statements?,True
SS_B_HistoryMarry_Uni,integer,[I am comfortable having a person with a past history of opioid use disorder/addiction marry into my family.] Do you agree with the following statements?,True
SS_C_CurrentWork_Uni,integer,[I would be willing to have a person with a current opioid use disorder/addiction start working closely with me on a job.] Do you agree with the following statements?,True
SS_D_CurrentMarry_Uni,integer,[I would be comfortable having a person with a current opioid use disorder/addiction marry into my family.] Do you agree with the following statements?,True
SS_E_Dangerous_Uni,integer,[People with a current addiction to opioids/prescription pain medications are more dangerous than the general population.] Do you agree with the following statements?,True
SS_F_Trust_Uni,integer,[A person who is currently addicted to opioids/prescription pain medication cannot be trusted.] Do you agree with the following statements?,True
CS_A_Obtain_Bi,integer,[I favor arresting and prosecuting people who obtain opioids/pain medication from sources other than a medical provider.] Do you disagree or agree with the following statements?,True
CS_B_Use_Bi,integer,[I favor arresting and prosecuting people who use opioids in a way not as prescribed by a doctor.] Do you disagree or agree with the following statements?,True
CS_C_SentencedJail_Bi,integer,[People found guilty of misuse of opioids/prescription pain medication need to be sentenced to jail or prison.] Do you disagree or agree with the following statements?,True
CS_D_IncarceratedAccess_Bi,integer,[Individuals who are incarcerated with an opioid use disorder/addiction should get access to evidence-based treatment while incarcerated.] Do you disagree or agree with the following statements?,True
CS_E_ParoleAccess_Bi,integer,[Individuals who are on parole or probation with an opioid use disorder/addiction should get access to evidence-based treatment.] Do you disagree or agree with the following statements?,True
CS_A_Obtain_Uni,integer,[I favor arresting and prosecuting people who obtain opioids/pain medication from sources other than a medical provider.] Do you agree with the following statements?,True
CS_B_Use_Uni,integer,[I favor arresting and prosecuting people who use opioids in a way not as prescribed by a doctor.] Do you agree with the following statements?,True
CS_C_SentencedJail_Uni,integer,[People found guilty of misuse of opioids/prescription pain medication need to be sentenced to jail or prison.] Do you agree with the following statements?,True
CS_D_IncarceratedAccess_Uni,integer,[Individuals who are incarcerated with an opioid use disorder/addiction should get access to evidence-based treatment while incarcerated.] Do you agree with the following statements?,True
CS_E_ParoleAccess_Uni,integer,[Individuals who are on parole or probation with an opioid use disorder/addiction should get access to evidence-based treatment.] Do you agree with the following statements?,True
KB_A_Definition_Bi,integer,[Opioid addiction is defined by a person continuing to use opioids despite negative consequences.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_B_AnyUse_Bi,integer,[Anyone who uses opioids long-term for pain has an opioid addiction.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_C_SelfControl_Bi,integer,[Most people who develop and/or struggle with opioid use disorder/addiction lack self-control.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_D_MoralFail_Bi,integer,[Misuse of opioids is a moral failing.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_E_QuitAnytime_Bi,integer,[A person struggling with opioid use disorder/addiction can quit using anytime if they choose.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_F_StopBreathing_Bi,integer,"[When misused, opioids can slow your breathing or even cause you to stop breathing entirely and lead to an overdose or death.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.",True
KB_G_Recover_Bi,integer,[Evidence-based treatments for opioid use disorder can recover people from opioid addiction.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_H_MedicalCondition_Bi,integer,[Opioid use disorder is a medical condition like other chronic health conditions.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_I_RockBottom_Bi,integer,[A person struggling with opioid use disorder/addiction must hit rock bottom before they are ready to accept treatment.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_J_EasyFind_Bi,integer,[It is easy to find good opioid use disorder treatment.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_K_FDA_Bi,integer,[The FDA has approved medications that are effective in treating opioid use disorder/addiction.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_L_JailHelps_Bi,integer,[Jailing someone with an opioid use disorder for at least a few days will help them by reducing their risk for an overdose.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_M_MedHoax_Bi,integer,"[Medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone) is a hoax.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.",True
KB_N_MedAbuse_Bi,integer,"[Medication for opioid use disorder (e.g., methadone, buprenorphine/suboxone, or naltrexone/vivitrol) is just substituting one form of drug abuse for another type of drug abuse.] Answer whether you disagree or agree with the following statements about opio",True
KB_O_LongTerm_Bi,integer,[People with an opioid use disorder/addiction need long-term treatment with medications.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_P_Responsible_Bi,integer,[People who misuse opioids can function as responsible members of society.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,True
KB_A_Definition_Uni,integer,[Opioid addiction is defined by a person continuing to use opioids despite negative consequences.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_B_AnyUse_Uni,integer,[Anyone who uses opioids long-term for pain has an opioid addiction.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_C_SelfControl_Uni,integer,[Most people who develop and/or struggle with opioid use disorder/addiction lack self-control.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_D_MoralFail_Uni,integer,[Misuse of opioids is a moral failing.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_E_QuitAnytime_Uni,integer,[A person struggling with opioid use disorder/addiction can quit using anytime if they choose.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_F_StopBreathing_Uni,integer,"[When misused, opioids can slow your breathing or even cause you to stop breathing entirely and lead to an overdose or death.] Answer whether you agree with the following statements about opioid use disorder/addiction.",True
KB_G_Recover_Uni,integer,[Evidence-based treatments for opioid use disorder can recover people from opioid addiction.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_H_MedicalCondition_Uni,integer,[Opioid use disorder is a medical condition like other chronic health conditions.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_I_RockBottom_Uni,integer,[A person struggling with opioid use disorder/addiction must hit rock bottom before they are ready to accept treatment.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_J_EasyFind_Uni,integer,[It is easy to find good opioid use disorder treatment.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_K_FDA_Uni,integer,[The FDA has approved medications that are effective in treating opioid use disorder/addiction.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_L_JailHelps_Uni,integer,[Jailing someone with an opioid use disorder for at least a few days will help them by reducing their risk for an overdose.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_M_MedHoax_Uni,integer,"[Medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone) is a hoax.] Answer whether you agree with the following statements about opioid use disorder/addiction.",True
KB_N_MedAbuse_Uni,integer,"[Medication for opioid use disorder (e.g., methadone, buprenorphine/suboxone, or naltrexone/vivitrol) is just substituting one form of drug abuse for another type of drug abuse.] Answer whether you agree with the following statements about opioid use disor",True
KB_O_LongTerm_Uni,integer,[People with an opioid use disorder/addiction need long-term treatment with medications.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
KB_P_Responsible_Uni,integer,[People who misuse opioids can function as responsible members of society.] Answer whether you agree with the following statements about opioid use disorder/addiction.,True
PersonalUse_Ever,integer,[Have you ever used opioids/prescription pain medication illicitly obtained or used in a way not prescribed by a doctor?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,True
PersonalOverdose_Ever,integer,[Have you ever overdosed from opioids/prescription pain medication?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,True
PersonalConviction_Ever,integer,[Have you ever been convicted of any misdemeanor or felony crime?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,True
PersonalIncarceration_Ever,integer,[Have you ever been incarcerated in jail or prison?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,True
