name,type,description,ordered
CaseId,integer,Case ID,True
WEIGHT,number,"Post-stratification weights - 18+ general population (N=1,007)",
KB_A_Definition,integer,[Opioid use disorder is defined as a person continuing to use opioids despite negative consequences.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_B_AnyUse,integer,[Anyone who uses opioids long-term for pain has an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_C_SelfControl,integer,[Most people who develop and/or struggle with an opioid use disorder lack self-control.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_E_QuitAnytime,integer,[A person struggling with an opioid use disorder can choose to quit using at any time if they put their mind to it.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_F_StopBreathing,integer,[Using opioids can slow your breathing or even cause you to stop breathing entirely and lead to an overdose or death.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_Treat_Recover,integer,[Some forms of substance use treatment is effective at helping people recover from an opioid use disorder.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_H_MedicalCondition,integer,"[Opioid use disorder is a medical condition like other chronic health conditions (for example, diabetes, high blood pressure).] Do you disagree or agree with the following statements about opioid use disorder?",True
KB_I_RockBottom,integer,[A person struggling with an opioid use disorder must hit “rock bottom” before they are willing to accept or attend treatment.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_J_EasyFind,integer,[Effective treatment for an opioid use disorder is easy to find.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_MedicationsExist,integer,[Approved medications that are effective in treating opioid use disorder exist.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_L_JailHelps,integer,[Jailing someone with an opioid use disorder for at least a few days will help them by reducing their risk for an overdose.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_SeekProfessional,integer,[People with an opioid use disorder should seek professional help.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_LongTerm,integer,[People with an opioid use disorder require long-term treatment in order to recover.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_Medications_Recover,integer,[People with an opioid use disorder need medications in order to recover.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_Recovery_No_End,integer,[Recovery is a continuous process that never ends.] Do you disagree or agree with the following statements about opioid use disorder?,True
KB_PainMeds_Dangerous,integer,[Individuals with an opioid use disorder specific to prescription pain medications are more dangerous.] Do you disagree or agree with the following statements about opioid use disorder?,True
Heroin_SeekTreatment,integer,[Individuals with an opioid use disorder specific to heroin are more likely to seek treatment.] Do you disagree or agree with the following statements about opioid use disorder?,True
Heroin_Recover,integer,[Individuals with an opioid use disorder specific to heroin are more likely to recover.] Do you disagree or agree with the following statements about opioid use disorder?,True
Heroin_MoreTreatment,integer,[Individuals with an opioid use disorder specific to heroin will require more treatment in their attempt at recovery.] Do you disagree or agree with the following statements about opioid use disorder?,True
