name,type,encodings,constraints.enum
CaseId,integer,,
WEIGHT,number,,
FluVax,integer,"1.0=Yes, I already got the vaccine for the 2020-2021 flu season|2.0=Yes, I plan to get the vaccine for the 2020-2021 flu season|3.0=No, not this flu season|4.0=No, I never get the flu vaccine|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|4.0|98.0|99.0|77.0
FluVax_Employ,integer,1.0=Yes|2.0=No|77.0=DON'T KNOW|98.0=SKIPPED ON WEB|99.0=REFUSED,1.0|2.0|99.0|98.0|77.0
VaxPlans,integer,"1.0=I already got vaccinated|2.0=Yes, I will get a coronavirus vaccine as soon as it is available to me|3.0=Yes, I will get a coronavirus vaccine, but I will wait until I see more proof that it is safe and effective|4.0=No, I will not get a coronavirus vaccine|77.0=Not sure|98.0=SKIPPED ON WEB|99.0=REFUSED",1.0|2.0|3.0|4.0|98.0|99.0|77.0
Vax_ProtectFam,integer,0.0=No|1.0=Yes,0.0|1.0
Vax_ProtectComm,integer,0.0=No|1.0=Yes,0.0|1.0
Vax_ProtectSelf,integer,0.0=No|1.0=Yes,0.0|1.0
Vax_DocRec,integer,0.0=No|1.0=Yes,0.0|1.0
Vax_NormalLife,integer,0.0=No|1.0=Yes,0.0|1.0
Vax_MostPublic,integer,0.0=No|1.0=Yes,0.0|1.0
Vax_Other,integer,0.0=No|1.0=Yes,0.0|1.0
Vax_DK,integer,0.0=No|1.0=Yes,0.0|1.0
Vax_SKP,integer,0.0=No|1.0=Yes,0.0|1.0
Vax_REF,integer,0.0=No|1.0=Yes,0.0|1.0
NoVax_Allergic,integer,0.0=No|1.0=Yes,0.0|1.0
NoVax_Needles,integer,0.0=No|1.0=Yes,0.0|1.0
NoVax_NoConcern,integer,0.0=No|1.0=Yes,0.0|1.0
NoVax_Time,integer,0.0=No|1.0=Yes,0.0|1.0
NoVax_GetInfected,integer,0.0=No|1.0=Yes,0.0|1.0
NoVax_SideEffect,integer,0.0=No|1.0=Yes,0.0|1.0
NoVax_DontWork,integer,0.0=No|1.0=Yes,0.0|1.0
